Mental Disorder
Acute Insomnia
Acute Stress Disorder
Adjustment Disorder with Depressed Mood
Adjustment Disorders
Alcohol Use Disorder
Anorexia Nervosa
Antisocial Personality Disorder
Anxiety Disorder due to another medical condition
Attention-Deficit/Hyperactivity Disorder (ADHD)
Autism Spectrum Disorder
Avoidant Personality Disorder
Avoidant/Restrictive Food Intake Disorder
Binge-Eating Disorder
Bipolar Disorder
Bipolar and Related Disorders due to another medical condition
Body Dysmorphic Disorder
Borderline Personality Disorder
Brief Psychotic Disorder
Bulimia Nervosa
Caffeine Use Disorder
Cannabis Use Disorder
Catatonia
Chronic Depression
Chronic Fatigue Syndrome
Chronic Suicidal Behavior
Circadian Rhythm Sleep-Wake Disorders
Cognitive Decline in Old Age
Cognitive Disorder due to another medical condition
Communication Disorders
Complicated Grief Disorder
Conduct Disorder
Conversion Disorder
Delirium
Delusional Disorder
Dependent Personality Disorder
Depression
Disruptive Mood Dysregulation Disorder
Dissociative Amnesia
Dissociative Identity Disorder
Excoriation (Skin-Picking) Disorder
Explosive Personality Disorder
Factitious Disorder
Factitious Disorder Imposed on Another
Fugue Disorder
Gambling Disorder
Gender Dysphoria
Generalized Anxiety Disorder
Hallucinogen Use Disorder
Histrionic Personality Disorder
Hypersexual Disorder
Hypersomnolence Disorder
Hypochondriasis
Illness Anxiety Disorder
Impulsive Personality Disorder
Insomnia Disorder
Intellectual Disability
Intermittent Explosive Disorder
Learning Disorders
Lethargy Syndrome
Malingering
Mild Neurocognitive Disorder
Mood Disorder due to a medical condition
Mood Disorder due to another medical condition
"Motor Disorders (e.g., Tourette Syndrome)"
Narcissistic Personality Disorder
Narcolepsy
"Neurodevelopmental Disorders (e.g., Fragile X Syndrome)"
Neuroleptic Malignant Syndrome
Night Terror Disorder
Nightmare Disorder
Obsessive-Compulsive Disorder (OCD)
Opioid Use Disorder
Opioid Use Disorder (Severe)
Oppositional Defiant Disorder
Panic Disorder
Paranoid Personality Disorder
Paraphilic Disorders
Pathological Personality Traits
Persistent Complex Bereavement DisorderMajor Neurocognitive Disorder
Personality Change due to another medical condition
Personality Disorders
Post-Traumatic Stress Disorder (PTSD)
Post-suicidal Syndrome
Postpartum Depression
Premenstrual Dysphoric Disorder
Premenstrual Syndrome
Psychosis due to Substance Use
Psychosomatic Disorder
Psychotic Disorder due to another medical condition
Recurrent Brief Depression
Restless Leg Syndrome
Restless Legs Syndrome
Revenge Suicide
Rumination Disorder
Schizoaffective Disorder
Schizoid Personality Disorder
Schizophrenia
Schizotypal Personality Disorder
Selective Mutism
Self-Injury
Sexual Dysfunction
Sleep Apnea
Sleep Deprivation Syndrome
Sleep Disorders
Sleep Paralysis
Sleep-Wake Transition Disorders
Social Anxiety Disorder
Somatic Symptom Disorder
Somatization Disorder
Specific Phobias
Stereotypic Movement Disorder
Stimulant Use Disorder
Substance Use Disorders
Suicidal Ideation
Suicidal Risk Disorder
Suicide Attempt
Toxic Psychosis
Toxicomania
Trichotillomania (Hair-Pulling Disorder)
